	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
A	e	s	c	a	r	r	o	ç	a	l	c	l	a	u	c	i	a	e
B	s	e	e	d	e	a	w	t	a	n	o	b	d	s	e	t	v	d
C	r	j	k	a	q	c	m	e	t	m	r	a	t	o	s	a	r	e
D	v	d	l	c	s	h	b	n	b	q	v	b	e	c	l	r	n	m
E	f	e	t	a	k	i	w	s	e	r	o	n	q	o	d	t	u	e
F	e	z	r	l	z	m	q	a	i	g	t	p	i	r	k	a	g	o 
G	d	e	n	n	a	p	r	b	j	f	v	b	j	u	z	r	b	m
H	p	c	t	a	m	a	n	d	u	a	r	s	f	h	a	u	a	g
I	a	a	p	d	d	n	o	ç	p	f	h	i	j	g	n	g	m	l
J	p	a	p	i	r	z	p	e	r	e	r	e	c	a	o	a	f	e
K	p	a	t	o	m	e	a	i	b	h	p	c	g	j	d	v	i	o 
L	o	p	a	d	q	z	b	m	s	s	b	x	z	d	o	m	t	l
M	p	c	a	s	c	a	v	e	l	q	ç	q	a	k	o	g	q	ç
N	k	t	v	b	q	x	i	n	a	f	w	p	g	a	m	b	a	m
O	a	e	o	a	h	p	r	a	m	u	c	f	b	v	o	k	o	p
P	r	d	t	r	d	a	c	e	i	s	e	t	e	s	n	e	g	r
Q	o	e	a	a	d	p	z	b	m	o	c	s	k	z	h	j	i	t
R	q	w	e	t	r	q	c	b	n	d	a	f	u	e	x	p	u	q
